2024-07-17 23:31:37.134 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Starting BookStoreFrontApplication using Java 21.0.3 with PID 39959 (/Users/dlrudgjs/Desktop/GitHub/book-store-front/target/classes started by dlrudgjs in /Users/dlrudgjs/Desktop/GitHub/book-store-front)
2024-07-17 23:31:37.145 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - The following 1 profile is active: "dev"
2024-07-17 23:31:37.516 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-07-17 23:31:37.516 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-17 23:31:37.530 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2024-07-17 23:31:37.603 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1039886f-b335-3755-825b-2a0b8fcf8631
2024-07-17 23:31:38.074 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-07-17 23:31:38.085 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-17 23:31:38.086 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-17 23:31:38.104 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-17 23:31:38.105 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 937 ms
2024-07-17 23:31:38.316 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:31:39.205 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
